id,genre,track_name,artist_name,valence,energy
4GV6q4kp3y8SpGtgXYAOOz,afrobeat,Sé,Rokia Traoré,0.483,0.345
4M6FuBh0zCSLFgoJ2SAWuw,afrobeat,Jama ko,Bassekou Kouyate,0.904,0.665
7EYRJsBJDoRdW8oFLUslh4,afrobeat,Azonto (feat. Tiffany),Fuse ODG,0.963,0.883
68eJ1PhtTYkMCl7oYxZW3H,afrobeat,Ekuro,Davido,0.496,0.825
3wRuMqW2OPpyOnhg3yT3M7,afrobeat,Bobo,Salif Keita,0.767,0.505
07O7ypl5bdCKUop3MW7N9F,afrobeat,Diarabi,Boubacar Traoré,0.531,0.455
00sQAR9xuGbRM7XjWmjZKF,afrobeat,Baai,Blood Diamond,0.968,0.754
5MLW8jzgAdr5pJxPl1qIMS,afrobeat,Ce N'est Pas Bon,Amadou & Mariam,0.734,0.712
5VAZqFBgO2KNRw6KXA7xMj,afrobeat,Weeping,Vusi Mahlasela,0.512,0.619
64Abyr4HpkCBbT0DqBp1dx,afrobeat,True Love,2Baba,0.595,0.736
7Hv89f7Dpm5Hce1XkBbjQZ,afrobeat,On The Floor - Radio Edit,Jennifer Lopez,0.462,0.68
2XY16w5EeeqEbDgNkU4NnE,afrobeat,Din Din Wo,Habib Koité,0.886,0.804
1PTGzgjNWP4upVlCp95I6i,afrobeat,Ara,Brymo,0.611,0.901
2he169BxArR5AMYlgJIAXr,afrobeat,Zen,Rokia Traoré,0.861,0.458
0XzkemXSiXJa7VgDFPfU4S,afrobeat,Blurred Lines,Robin Thicke,0.863,0.503
0yfeyqPCZrkyC3hxb6ycIH,afrobeat,Mwana,Staff Benda Bilili,0.921,0.866
67eoj6NRe1VkDxGzslONM2,afrobeat,Je pense à toi,Amadou & Mariam,0.855,0.423
28O4PwkH8bzARStxeL4pxL,afrobeat,Sexy Bitch (feat. Akon),David Guetta,0.853,0.633
2Heon2ZRiyw7nMX9GdfFZc,afrobeat,Unomathemba,Ladysmith Black Mambazo,0.432,0.105
7qPVJBJmsMRs6RwMffZgnr,afrobeat,Chop My Money (I Don't Care) [feat. Mayd],P-Square,0.872,0.846
27GnEDsZv4UFNgB7X1Btri,afrobeat,Oh My Way to Bamako,Habib Koité,0.79,0.325
4PCW6nxrT9qxet5scL7T1L,afrobeat,Heaven,Various Artists,0.384,0.768
1r8V85iUIeGJ5LOFcYbyEo,afrobeat,Umhome,Miriam Makeba,0.561,0.0278
2xwBZeD1bTFYqKXVMrCtm7,afrobeat,Usiniseme,Various Artists,0.836,0.873
3oJOtvPbyOqRPlFvspQP3o,afrobeat,Djuru,Amadou & Mariam,0.697,0.798
2pJKh0H5YG0ESWMytQdUQ3,afrobeat,Birima,Youssou N'Dour,0.765,0.685
4tOeiJqj6vhXjkckN6T3X5,afrobeat,Never Believe You,Mavado,0.657,0.685
6UnTncN9LvqKY1k3sfAa2O,afrobeat,No Time,Various Artists,0.935,0.715
5tkcQeBaeM1ZoNs2YUOmnz,alt-rock,Same Damn Life,Seether,0.772,0.949
4DfGcn3VVcdmmJl1PWNAkv,alt-rock,Karate Lips,Electric Six,0.472,0.965
25AhbOlZhMKvz7673O88cI,alt-rock,Looking For Space,Various Artists,0.658,0.459
5fxfwjQ1OmbnkOlg39HsSO,alt-rock,I Got A Girl,Tripping Daisy,0.686,0.838
351zlSrEZvnCB9Nbxi0dz0,alt-rock,Do It Nation,Half Japanese,0.649,0.968
2daWGEfV5nmfEOb53S70Pi,alt-rock,Gone To The Movies,Semisonic,0.612,0.32
0j63xEjwIqH5UETVoHlxXQ,alt-rock,Tomorrow,Various Artists,0.494,0.687
6mH3sA9TMhgALjjWO0LXW2,alt-rock,1000hp,Godsmack,0.429,0.955
1AuoE6E9GGzncRpGg0Y7vG,alt-rock,It's Your Choice,Brendan Benson,0.746,0.768
2rFT9auiubp7nlaX7wknwI,alt-rock,Patty Lee,Les Savy Fav,0.776,0.923
1uIsJdRjJ1G2GEWZFjtpKq,alt-rock,Hold On Hope,Guided By Voices,0.164,0.504
1ng36571Iyov4HBxUClySn,alt-rock,Pepper,Butthole Surfers,0.671,0.804
1lL8ttg9HNdyuN0VxD7c75,alt-rock,Photograph,The Verve Pipe,0.316,0.756
18eR1w9NXigoppVRpdc4yk,alt-rock,Da Vinci,Weezer,0.578,0.631
4VQcmzxaGAJRHufuiLxCAe,alt-rock,Add It Up,Violent Femmes,0.649,0.763
7rbCL7W893Zonbfnevku5s,alt-rock,I Need My Girl,The National,0.106,0.438
3MWdMCAIFPzcIUdiEi8Pao,alt-rock,Marquee Moon - 2003 Remaster,Television,0.737,0.657
5ghIJDpPoe3CfHMGu71E6T,alt-rock,Smells Like Teen Spirit,Nirvana,0.72,0.912
5xX1WSBdm7ogRZM0IznVbU,alt-rock,Soul to Preach To,Fuel,0.148,0.821
7ibdlh8S0E898zZNDmNefJ,alt-rock,Touch Me,Various Artists,0.53,0.565
087OBLtoeS3Q6j0k6tMNAI,alt-rock,Closing Time,Semisonic,0.281,0.867
5dQDcvNaiXR83BEXkU5Tyz,alt-rock,Like Me Too,The Posies,0.32,0.566
4H88C5eMo7CHorvWy2Hr4q,alt-rock,Somebody To Break Your Heart,Robyn Hitchcock,0.791,0.472
0PgNhIg5n0UAOBVn43b8b6,alt-rock,The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,0.576,0.734
6h0lrpGtRIwbBiPHthDB3o,alt-rock,Dyslexic Heart,Paul Westerberg,0.843,0.902
5UWwZ5lm5PKu6eKsHAGxOk,alt-rock,Everlong,Foo Fighters,0.364,0.881
7kF1iPJTj3VFJX9XokQ80F,alt-rock,Slither,Velvet Revolver,0.268,0.974
3JN8Emy2XVWWIuk7jJIWCR,alt-rock,She Walks,Poster Children,0.344,0.543
4Ze0s4HrArYiz2P6l8qqxh,alt-rock,Pretty Baby,Brendan Benson,0.512,0.439
3y9zMGuxWS8xkpOxNPfiMZ,alt-rock,Miss You Love,Silverchair,0.148,0.464
0wqOReZDnrefefEsrIGeR4,alternative,Hanging By A Moment,Lifehouse,0.435,0.864
0UrWr7Jnu1heq1o99ZwUd0,alternative,Youth of the Nation,P.O.D.,0.517,0.86
5FbMKftNTXCKiBYSf0TQrs,alternative,Na Na Na (Na Na Na Na Na Na Na Na Na) - Single Version,My Chemical Romance,0.725,0.977
0wcImcUemunoyKSXn6qqFj,alternative,The Noose of Jah City,King Krule,0.0368,0.509
0jBE7Fn78EAvmIs3dCd6GO,alternative,Is This It,The Strokes,0.846,0.692
5MsZIaCYY6Tsdph0LiB0hE,alternative,Alone Together,Fall Out Boy,0.606,0.915
1VQ6FXasIrdkshSHfX6sde,alternative,Entertainment,Phoenix,0.479,0.731
4itTlcFW7W5RiOntn8cdfc,alternative,Heaven,Eleanor Friedberger,0.741,0.596
2lwwrWVKdf3LR9lbbhnr6R,alternative,Float On,Modest Mouse,0.553,0.888
1p5fFes80K9IPnZFqNca53,alternative,Cousins,Vampire Weekend,0.808,0.809
1JqTcOjOn7gEpeC0JcRVPa,alternative,We Are The People,Empire of the Sun,0.543,0.784
19K3lUMJmOdeuOBTrbLm19,alternative,Weekend Wars,MGMT,0.69,0.859
17ZAZ24Eyh5fKqQ06u4R3d,alternative,You Oughta Know,Alanis Morissette,0.473,0.861
0ksiY8wT3FO1jrnafef7oR,alternative,Up & Out,Matthew Dear,0.705,0.642
2uljPrNySotVP1d42B30X2,alternative,Wake Up,Arcade Fire,0.274,0.8
3ItzRpwvKtkDSNdRSjXu7Z,alternative,Chelsea Dagger,The Fratellis,0.552,0.817
1zBFEYEwHKCahttaE2mhg7,alternative,Down,311,0.578,0.935
3mga1z1FesVlx87hYPwLTf,alternative,Screaming Skull,King Tuff,0.674,0.863
6EvgWSbWmQelxrQBmhEdXh,alternative,Heart-Shaped Box,Nirvana,0.278,0.778
2XYRxeXd56lzqTBzO41ARO,alternative,Mona Lisa,Atlas Sound,0.792,0.788
3l8dM1wjgFh98jpiq5ZCe7,alternative,Jump into the Fog,The Wombats,0.671,0.897
2hKdd3qO7cWr2Jo0Bcs0MA,alternative,Drops of Jupiter (Tell Me),Train,0.497,0.638
1Dr1fXbc2IxaK1Mu8P8Khz,alternative,When I Come Around,Green Day,0.814,0.909
6X0IVgD0z8XZlwZZlm7mnc,alternative,Thought Ballune,Unknown Mortal Orchestra,0.625,0.823
1kUmkp42FTNSl5bZmjj5Xq,alternative,I'm a Mess,Body Language,0.772,0.592
4iHh9ftZKEtTmqnEYuWlm6,alternative,I: Ferocious Body,Born Gold,0.309,0.554
1JdKrFyoU05abww0Zv0ayQ,alternative,That's What You Get,Paramore,0.632,0.831
1ZqHjApl3pfzwjweTfMi0g,alternative,Violet Hill,Coldplay,0.11,0.58
35aNHKBZWXXbL9KQK7O5Nk,alternative,Hurricane,MS MR,0.262,0.68
7q4MJZSiqPC16dbhQWxugv,alternative,Cape Cod Kwassa Kwassa,Vampire Weekend,0.794,0.518
5hfG9ztj7AMC4hv1z2CYXK,ambient,Warmed By the Drift,Biosphere,0.115,0.197
5omoZuexWhyFQyh8h92fof,ambient,9:25,Global Communication,0.0548,0.559
0LfRVw2aFyi3wqYcRjFZpx,ambient,"Broken Harbors, Pt. 2",Stars Of The Lid,0.0257,0.00522
7uTs0S0Oh0Lc4Zz5m8lQfR,ambient,Chinese Radio,Various Artists,0.0389,0.543
0M7ZlP2RfhlrV5Jc7LkBRj,ambient,At the River,Groove Armada,0.466,0.556
0YkKDfTYI70WkYSBWh2LQM,ambient,2-Step,Low,0.0516,0.113
2rptpw6hQQ8YewzB2hKOrj,ambient,Star 6 & 7 8 9,The Orb,0.872,0.389
5v8tkWxBbFuRwpS7ou18SN,ambient,Small Little Green Cubes,AES DANA,0.0766,0.509
4I7pO04IarBBQAcqRMcWhz,ambient,Freeze-frames,Biosphere,0.135,0.331
4TrCvd1PrqI14lZb7tEtYo,ambient,A Meaningful Moment Through a Meaning(less) Process,Stars Of The Lid,0.0324,0.0718
1R8yRnLBJJbPPwLBZgEcp9,ambient,Elegy,Tycho,0.171,0.417
2kFvFeOcF299uiOJlP7at5,ambient,Low Roar,Low Roar,0.0383,0.154
0dh2F3Mi1b1EGafGmvUC9M,ambient,Space Walk,Lemon Jelly,0.592,0.89
6ZFbXIJkuI1dVNWvzJzown,ambient,Time,Hans Zimmer,0.0401,0.0879
7h72nBrDnRp4EejkjNWVWy,ambient,Indigo Room,H.U.V.A. Network,0.392,0.473
6uoM7KHsyJsHZqBQHKjQbc,ambient,Black Sands,Bonobo,0.338,0.499
2GaBIo60YfRmNJ5iuTFFBZ,ambient,Air Song - 8 am Version,Solar Fields,0.0327,0.264
4oHLmIbw3CkGvJ5EV96TKR,ambient,Frailty (For the Dearly Departed),Hammock,0.159,0.333
5aNuPgou6IsV49mVfGKR08,ambient,Frog,Carbon Based Lifeforms,0.115,0.284
7yoQyZXnpRbh7k78dzWO00,ambient,Velius,Helios,0.0581,0.338
3OgkfYg13Jj96E982moWje,ambient,Dungtitled (In a Major),Stars Of The Lid,0.0285,0.208
3md3vi2KPEjP6hk4Rs21oV,ambient,Rain Geometrics,H.U.V.A. Network,0.287,0.38
2LDYvpug35TCwdooo62tD2,ambient,Seeya Later,Boards of Canada,0.367,0.467
54Op4kBfJ00NABAz2ZDYCn,ambient,Phase 07 - Forgotten,Solar Fields,0.0997,0.076
38n9cqj5lZ2xMF6IHq9TDg,ambient,Indian Summer,Jónsi,0.0322,0.131
4sEG0E3IBQHp6V2DGTnXNX,ambient,Held together by gravity,Carbon Based Lifeforms,0.0527,0.374
2zDbFhNBErLkUfwVslW3lY,ambient,Hands Playing Butterfly,Efterklang,0.0779,0.264
43Bx78yw7xZufzOXAZLDb2,ambient,Shika-1,Biosphere,0.0827,0.169
45p0MAVey0dnjZXo8kMUzh,ambient,Featherstone,The Paper Kites,0.636,0.373
3Yddrcaam57PhLoib81JGD,ambient,The Sea,Tomáš Dvořák,0.0397,0.329
2dfcq93i8gRSNryrk6UFAY,anime,アルシラの星 - カラオケ,Shinji Tanimura,0.547,0.835
4h21FblFP3Ay1o3GzGNs1q,anime,コドクシグナル,チーム“ハナヤマタ”,0.58,0.938
4ekAVxexA7PqZcejSE4tpY,anime,The Everlasting Guilty Crown -TV Edit-,EGOIST,0.463,0.857
4u4t9R8Iky417ZasENaKXX,anime,Yuri on ICE,Taro Umebayashi,0.154,0.514
5KoOign5i8cbWFtAuk3nfe,anime,彩色の星,Eir Aoi,0.42,0.726
0HjF2p96enZYEG1scng8R8,anime,桜咲く,ClariS,0.567,0.596
19d0fBkYnKzquaaWrO2OYI,anime,幻想曲WONDERLAND,i☆Ris,0.48,0.849
3JtrO22R775kUZ28Hb8L04,anime,わんわんわんわんN_1!! - 映見ver.,大澤映見(CV:加隈亜衣),0.714,0.966
5pn3AD5ipKMYQvxB6AAHqz,anime,カゲロウ,ЯeaL,0.578,0.985
4MlXusv7aQw6ONtyy72fy2,anime,"HIGAWARI PRINCESS - PRINCESS Miyu Ver,",岡本未夕(CV:高木美佑),0.863,0.911
2trmyoaz9fSAwXYh48SGu2,anime,真昼,Kalafina,0.186,0.0752
00WCxlPajxvVmgOfVpcLGc,anime,Eternal Spice,Various Artists,0.469,0.911
4BhbfycCOolFAy811R7yni,anime,どこまでも 〜How Far I'll Go〜,Various Artists,0.145,0.344
2LbLVhHPX0DeHWclClAUaW,anime,みんな絶対キミが好き,Luna Haruna,0.76,0.925
0qrDvsztI3MUlZvaNsQ52i,anime,Endless NOVA - TK SKRIX ver.,Tatsuyuki Kobayashi,0.572,0.948
6nfwuH777JDgwotCUGBHya,anime,RESTART,ClariS,0.83,0.974
5TauZYNygOf7NIU0m6lo03,anime,Boyfriend,Prism☆Box,0.778,0.884
4Vby7RWFEZFlZHd4Ah2ylb,anime,裏切りの夕焼け,THEATRE BROOK,0.589,0.918
7CXUYW2dprzyuyuL38a1nl,anime,愛・おぼえていますか,Mari Iijima,0.442,0.651
57Ss6fa0Om0RIAsKG9BlZs,anime,進めアバンチュール,i☆Ris,0.714,0.923
6c78bqBz2YmDKeA5MG6NP4,anime,春想の街,Mashiro Ayano,0.551,0.822
6tovuDXQrpjdYveSkjfQ66,anime,カナデナル,EGOIST,0.127,0.407
4N70xPyz4LRQhCGmaGqgUt,anime,おかしな帽子屋,かと*ふく,0.453,0.772
42JZfJvi86NWu1DmtMVHII,anime,Q&A リサイタル!,Haruka Tomatsu,0.868,0.967
3kjsitsCuMB2RCDWSUtA10,anime,IN MY WORLD,ROOKiEZ is PUNK'D,0.707,0.98
2zcceHJcvzXBwfhC8WImXK,anime,あなたにVacuum!〜ちょいかため〜,Lisp,0.623,0.817
4ZlhlmM8zseVw24xBqRl41,anime,少女S,SCANDAL,0.794,0.91
6E0rc7XqqOM7IPO3FVwXTr,anime,irony,ClariS,0.59,0.897
4JmmarKNhZgLolOmN20mJS,anime,花雪,smileY inc.,0.539,0.972
4ztgsfHAyWFXYSpd0OaFsT,anime,Gladius,Eir Aoi,0.143,0.986
5JQJFtmq1NxX1hTFfLg4TT,black-metal,Inno A Satana,Emperor,0.0626,0.912
4449HGJgrbopjejsn2gFMd,black-metal,Begravelsesnatt,Gorgoroth,0.0504,0.98
02W31H8vb0J2f2KUG9HDgK,black-metal,Stemmen Fra Taarnet,Burzum,0.0898,0.9
6czZcJ6fIaCJIHRt0WlmI3,black-metal,Dark Night of the Soul,Mayhem,0.18,0.929
2hPpUDME59THtvTZHPyxgR,black-metal,Quintessence,Darkthrone,0.276,0.738
0ynAyAjnnbF9ENuZAcNSk2,black-metal,Raabjorn Speiler Draugheimens Skodde,Dimmu Borgir,0.329,0.823
5op0s1yjASJ1YZKusIklds,black-metal,1651,Marduk,0.0615,0.417
6cgY1FrIwrXCXWdaIFh4gr,black-metal,Escape,ColdWorld,0.0324,0.389
4XDaJPLGKGm43T640r8pwy,black-metal,Conquer All,Behemoth,0.256,0.936
3lik0Bo4EDLHBKNCf0LmNu,black-metal,Atomic Coming,Darkthrone,0.0371,0.999
0D7Hr4KYSmmszFsTjwIdhH,black-metal,Funeral Dawn,Marduk,0.221,0.71
3xYGE8rD4WK1GyQTGUSBQz,black-metal,I Kamp Med Kvitekrist,Isengard,0.544,0.525
7DkB0JXUhmLeTavFkE7QhR,black-metal,Psalm 7:77,1349,0.0371,0.947
2uZ3d4n78HDJEjnlrrEO2r,black-metal,Heimfard,Bathory,0.219,0.992
2XHG1C3ksw9EAclBFDYZ2M,black-metal,Jesus' Tod,Burzum,0.0341,0.93
5nv6T0fW71K28EBHehQQhI,black-metal,Norden On Fire,Immortal,0.0722,0.939
7C1lX58IT7Frt762UH0SNU,black-metal,The Shrine of Mad Laughter,Deathspell Omega,0.0398,0.946
69Yst9haW9Y2ESyPm2z3HR,black-metal,Sognariket Sine Krigarar,Windir,0.199,0.969
6hPYpAUN3WZ2cWOgbmx4oQ,black-metal,Sorgens Kammer,Dimmu Borgir,0.273,0.353
05TwEprthalrWLTL1P87sa,black-metal,Sadist,Bathory,0.331,0.831
5s5q1YUpkTSseqacmahFyl,black-metal,Tyster På Gud,Darkthrone,0.0398,0.996
1RctcGx5m5kJGD7fjbpyiJ,black-metal,"Now, Diabolical",Satyricon,0.272,0.959
3vrxTCAEKTKQ4vCGJfOEI1,black-metal,Nexion 218,Dissection,0.18,0.717
3Ju8tUFLIMOVAVzmglhyWK,black-metal,Storm of the Antichrist,Watain,0.0747,0.988
4faSHbkYnJ6Boe6Wf20CQh,black-metal,Alt Lys Er Svunnet Hen,Dimmu Borgir,0.14,0.881
408A6DR23gOoQsTar26LR2,black-metal,Lukt til Helvete,Taake,0.0743,0.791
2nUncHmpVuwC41O9XG6SFw,black-metal,Into the Crypts of Rays,Celtic Frost,0.26,0.962
2m1XUuVDaOWS4SBlvn2VfV,black-metal,Svarte Vidder,Enslaved,0.146,0.995
3kJAaCLkR4RT1VNuR2uFG0,black-metal,The Rite of Our Cross,Satyricon,0.214,0.93
21wDrbjY1QMwJDsFPtaG1Q,black-metal,Through The Belly Of Damnation,Marduk,0.0859,0.996
79b5Zdvhcj9bSbc0XIWhzq,bluegrass,Carry Me Back to Virginia (from 'Carry Me Back' Album),Old Crow Medicine Show,0.96,0.921
0Ot64UW5k4ftvK4S4yqtrw,bluegrass,Big Chance,Patty Loveless,0.913,0.686
2LvcvG8uTvcRnvoG67JTsC,bluegrass,New Mule Skinner Blues,Bill Monroe & His Blue Grass Boys,0.669,0.396
4MCjZoaTZMR0IprBILaJ7y,bluegrass,Old Salty Dog Blues,Earl Scruggs,0.976,0.543
095XbFsvXNAMARWsep8kq2,bluegrass,Dream You Back,The Infamous Stringdusters,0.882,0.79
1DtQWgLprt0aNPKYymhVCy,bluegrass,"Tortured, Tangled Hearts",The Chicks,0.713,0.724
6Qz99ZxnmGXRIpnvqE9gZW,bluegrass,Sometimes,Punch Brothers,0.399,0.438
1KxLzB9KVb51oJYdqYu9Cv,bluegrass,Fire and Rain - Bluegrass Tribute to James Taylor,Pickin' On Series,0.396,0.345
2zA6QpLF7GIiggoBEOdPcV,bluegrass,It All Comes Down To You,Dan Tyminski,0.836,0.564
5movgnND6GJx2Kde4aWD43,bluegrass,Birmingham,Shovels & Rope,0.41,0.612
0NVVlUdAPed6qkm8eghx6m,bluegrass,Darkness and the Light,Trampled by Turtles,0.925,0.926
0bSNz2U9vr2IxuJKjwuabX,bluegrass,Take Me For Longing,Alison Krauss & Union Station,0.661,0.64
4bb7ZNEBIDFBp5mmt513tu,bluegrass,Keep on Truckin’,The Infamous Stringdusters,0.562,0.78
3ya5jpanVfZLSFTJyGUT40,bluegrass,Out of the Blue,Yonder Mountain String Band,0.903,0.71
6C37Thprsz5GG12bI0q2mL,bluegrass,Fortunate Son,Pickin' On Series,0.86,0.769
3MDMirqQfmlzXg2tcnGCzl,bluegrass,Risk,Trampled by Turtles,0.948,0.915
26uHwSHlaK5mskSMhbRod3,bluegrass,Luckiest Man,The Wood Brothers,0.294,0.281
49AGi4g3RkotdOBoTajwP9,bluegrass,Dynamite,The Devil Makes Three,0.962,0.592
0gGxYSbgJI8D8WDdx9AUsW,bluegrass,Rain Please Go Away,Alison Krauss & Union Station,0.811,0.726
6B6C1OC9RUvrvBECPWtAZo,bluegrass,February Seven,The Avett Brothers,0.267,0.465
2LHpbke1zUVT8xLlplZN0j,bluegrass,Shady Grove,Doc Watson,0.944,0.509
30G8gWGlHF0pz1oCWqTY7b,bluegrass,The Deputy,The Infamous Stringdusters,0.94,0.869
35Zt8hOY02SLRl0UN0EGNN,bluegrass,I Saw The Light,Bill Monroe,0.78,0.396
5Jq6QxwvHBCM5izv8C8f6i,bluegrass,If I Lose,Yonder Mountain String Band,0.735,0.702
3vsWBcTA9h8ggo2nv4eNpm,bluegrass,For Those Below (Bonus Track),Mumford & Sons,0.326,0.447
70UsEkc3eJT7Udo3I7IuGx,bluegrass,Farewell Blues,Flatt & Scruggs,0.956,0.902
71WSwVBhRVvGAdd3zYWIT5,bluegrass,Get Along Stray Dog,Steve Martin,0.803,0.622
7eT5uQWbQ7l2BmCSlsqUsQ,bluegrass,On The Outside Looking In,Alison Krauss & Union Station,0.854,0.645
1QQCePp8EM1QmhSqAeqcbq,bluegrass,Caney Fork River,Balsam Range,0.876,0.743
6Tjzb7TTDa7rw73sAmocT1,bluegrass,How Many Times,Dan Tyminski,0.776,0.782
7jIpPK4BiI2lJCSlG1yCUd,blues,Am I Right Or Wrong,Son House,0.756,0.176
27m1soUndRthrAA1ediOXn,blues,I Heard It Through The Grapevine,Marvin Gaye,0.679,0.324
1nuFehrAvHEroephMV6dCN,blues,Sinner's Prayer,"Beth Hart, Joe Bonamassa",0.406,0.52
7mWdQmeasG17YG0ygCZoNT,blues,Mustang Sally,The Commitments,0.905,0.738
2dAm3t3HT91qhKEgZFhzmv,blues,Come Rain or Come Shine,Eric Clapton,0.289,0.396
2dLuGCYKlQQakMMfUOwA53,blues,It's My Own Fault Baby,B.B. King,0.483,0.529
0GfkQQtDoI4K8A4TdQR1oe,blues,Long Tall Sally,Lloyd Price,0.823,0.753
1UBQ5GK8JaQjm5VbkBZY66,blues,Sharp Dressed Man - 2008 Remaster,ZZ Top,0.446,0.859
3fBncynfmggoFtiPve2vOm,blues,Streamline Woman,Muddy Waters,0.305,0.314
7ySXlyqDFNKYow0NpLJOOP,blues,Forty Four,Howlin' Wolf,0.582,0.621
6qrnUwHfWubFB8tdvrAsby,blues,Bad Luck,B.B. King,0.793,0.537
0aWMVrwxPNYkKmFthzmpRi,blues,Blue in Green (feat. John Coltrane & Bill Evans),Miles Davis,0.154,0.0162
48EivuFxa3imcUL30UnPVL,blues,Alabama Bound,Lead Belly,0.918,0.484
2PatEYrrVBNx5LPjTL2ruP,blues,Champagne & Reefer - Live,Muddy Waters,0.525,0.603
47GPlXb3Zhg0UarP3qKQjP,blues,Something's Got a Hold on Me,Jools Holland,0.752,0.953
2KoxzyZLq0GJPWZvr0o2O6,blues,74 Years Young,Buddy Guy,0.563,0.73
6hURmYjfqmr5CfK1wSHxtv,blues,I'm In The Mood - Single Version,John Lee Hooker,0.663,0.304
3DcSOuSNn5yfHboPDa7kgh,blues,Lonely Avenue - 2005 Remaster,Ray Charles,0.623,0.277
125et00BL36tXeZqE22r4M,blues,Stang's Swang,Stevie Ray Vaughan,0.514,0.471
6qIHtGwr6PTaB2hivM4MAs,blues,Jesus Make Up My Dying Bed,Blind Willie Johnson,0.491,0.273
4wqBlV9jC6FvTFnL53CUL0,blues,Sitting On Top Of The World,Howlin' Wolf,0.438,0.353
7egyR1d4Xmr1TsmpJct9bL,blues,Midnight Rider,Allman Brothers Band,0.591,0.459
11JLU8pu3gRx4KleXJQ3ce,blues,(I'm Your) Hoochie Coochie Man,Various Artists,0.874,0.42
1cLDBLKbJmt1FFvVmfueem,blues,You're So Fine,Little Walter,0.967,0.736
0AE1Ymr9Cjam8BLt5FcTRO,blues,"Texas Flood - Live at Montreux Casino, Montreux, Switzerland - July 1982",Stevie Ray Vaughan,0.349,0.515
5lc7PQQVAXXEgTOqGkc0US,blues,John Henry,Hugh Laurie,0.586,0.549
2y42MmBCfEhqIkFAJs0V8Z,blues,Black Mud,The Black Keys,0.374,0.502
7JjdBl8XZvcBzK6crOKCoS,blues,Sweet Little Angel,B.B. King,0.32,0.407
442bS2UaN0A52tzwGTjCxB,blues,Goin' Down Slow,Howlin' Wolf,0.748,0.68
0QbzVfpdq4rJyzotfw1ENy,blues,I'm So Glad,Skip James,0.49,0.463
